Title,Artists,Album,Album Release Date
Sä jätät jäljen,['Paperi T'],Malarian pelko,2015-04-17
Hurts So Good,['Astrid S'],Hurts So Good,2016-05-06
Elefantin paino,['Ellinoora'],Villi lapsi,2016-09-16
Cheerleader (Felix Jaehn Remix) - Radio Edit,"['OMI', 'Felix Jaehn']",Cheerleader (Felix Jaehn Remix Radio Edit),2014-12-02
Me ei olla enää me,['SANNI'],TOP 10,2016-05-13
Sun Is Shining,"['Axwell /\\ Ingrosso', 'Axwell', 'Sebastian Ingrosso']",Sun Is Shining,2015-06-12
My Way,['Calvin Harris'],My Way,2016-09-16
Päästä mut pois,"['Mikael Gabriel', 'Diandra']",Päästä mut pois,2013-01-01
Something New,"['Axwell /\\ Ingrosso', 'Axwell', 'Sebastian Ingrosso']",Something New,2015-01-20
home,['gnash'],home,2016-10-28
Together,"['Martin Garrix', 'Matisse & Sadko']",Seven,2016-10-28
Sing Me to Sleep,['Alan Walker'],Sing Me to Sleep,2016-06-03
Make up Your Mind,"['Martin Garrix', 'Florian Picasso']",Seven,2016-10-28
Move Your Body - Alan Walker Remix,"['Sia', 'Alan Walker']",This Is Acting (Deluxe Version),2016-10-21
Bed Of Lies,"['Nicki Minaj', 'Skylar Grey']",The Pinkprint (International Deluxe Explicit),2014-12-15
I Got the Keys (feat. Jay-Z & Future),"['DJ Khaled', 'JAY-Z', 'Future']",Major Key,2016-08-05
Stay a While - Radio Edit,['Dimitri Vegas & Like Mike'],Stay a While,2016-07-01
Melody,"['Dimitri Vegas & Like Mike', 'Steve Aoki', 'Ummet Ozcan']",Melody (Radio Mix),2016-04-25
Another You (feat. Mr. Probz) - Radio Edit,"['Armin van Buuren', 'Mr. Probz']",Another You (feat. Mr. Probz),2015-05-08
LA LA LAND (feat. Delaney Jane),"['DVBBS', 'Shaun Frank', 'Delaney Jane']",LA LA LAND (feat. Delaney Jane),2016-06-03
This Is What It Feels Like,"['Armin van Buuren', 'Trevor Guthrie']",Intense,2013-05-03
m.A.A.d city,"['Kendrick Lamar', 'MC Eiht']","good kid, m.A.A.d city (Deluxe)",2012-10-22
The One That Got Away - Acoustic,['Katy Perry'],Teenage Dream: The Complete Confection,2012-03-12
Ainutlaatuinen,['Johanna Kurkela'],Ainutlaatuinen,2010-11-26
Love The Way You Lie (Part II),"['Rihanna', 'Eminem']",Loud,2010-11-16
Nothing Like Us,['Justin Bieber'],Believe Acoustic,2013-01-01
Miracle,['Cascada'],Everytime We Touch (Album),2006-08-21
S&M,['Rihanna'],Loud,2010-11-15
Cheap Thrills,['Sia'],This Is Acting,2016-01-29
Like A G6,"['Far East Movement', 'The Cataracs', 'DEV']",Free Wired,2010-01-01
Hair (feat. Sean Paul),"['Little Mix', 'Sean Paul']",Hair (feat. Sean Paul),2016-04-15
Worth It (feat. Kid Ink),"['Fifth Harmony', 'Kid Ink']",Reflection (Deluxe),2015-01-30
Run the World (Girls),['Beyoncé'],4,2011-06-24
Jai Ho! (You Are My Destiny),"['A.R. Rahman', 'The Pussycat Dolls', 'Nicole Scherzinger']",Jai Ho! (You Are My Destiny),2009-01-01
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",Uptown Funk (feat. Bruno Mars),2014-11-24
Telephone,"['Lady Gaga', 'Beyoncé']",The Fame Monster (International Deluxe),2009-01-01
Temperature,['Sean Paul'],The Trinity,2005-09-26
Black Widow,"['Iggy Azalea', 'Rita Ora']",The New Classic,2014-01-01
Crazy In Love (feat. Jay-Z),"['Beyoncé', 'JAY-Z']",Dangerously In Love,2003-06-24
Alarm,['Anne-Marie'],Alarm,2016-05-20
Starships,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Danza Kuduro,"['Don Omar', 'Lucenzo']",Meet The Orphans,2010-01-01
Same Old Love,['Selena Gomez'],Revival (Deluxe),2015-10-09
"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]","['Major Lazer', 'Busy Signal', 'FS Green', 'The Flexican']",Free The Universe,2013-04-12
Pour It Up,['Rihanna'],Unapologetic (Deluxe),2012-12-11
Try Me (feat. Jennifer Lopez and Matoma),"['Jason Derulo', 'Jennifer Lopez', 'Matoma']",Everything Is 4,2015-05-29
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']",Hands All Over,2010
Buttons,['The Pussycat Dolls'],PCD,2005-01-01
Booty,"['Jennifer Lopez', 'Iggy Azalea']",Booty,2014-09-23
Hollaback Girl,['Gwen Stefani'],Love Angel Music Baby,2004-11-22
Thrift Shop (feat. Wanz),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Wanz']",Thrift Shop (feat. Wanz),2012-08-01
Alors On Danse,"['Stromae', 'Kanye West']",Cheese (International Deluxe Edition),2010
GDFR (feat. Sage the Gemini & Lookas),"['Flo Rida', 'Sage The Gemini', 'Lookas']",My House,2015-04-07
,[''],,0000
I Know You Want Me (Calle Ocho),['Pitbull'],Pitbull Starring In Rebelution,2009-08-31
Move Ya Body,"['Nina Sky', 'Jabba']",Nina Sky,2004-01-01
Come & Get It,['Selena Gomez'],Come & Get It,2013-01-01
In Da Club,['50 Cent'],Get Rich Or Die Tryin',2003-02-06
Milkshake,['Kelis'],The Hits,2008
We Can't Stop,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04
Low (feat. T-Pain),"['Flo Rida', 'T-Pain']",Mail on Sunday,2008-03-17
Crank That (Soulja Boy),['Soulja Boy'],souljaboytellem.com,2007-01-01
Applause,['Lady Gaga'],ARTPOP,2013-01-01
Wannabe,['Spice Girls'],Spice,1996-01-01
Disturbia,['Rihanna'],Good Girl Gone Bad: Reloaded,2008-06-02
Get Ur Freak On,['Missy Elliott'],Miss E... So Addictive,2001-05-14
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25
Titanium (feat. Sia),"['David Guetta', 'Sia']",Nothing but the Beat,2011-08-31
Dynamite,['Taio Cruz'],Rokstarr,2010-01-01
All About That Bass,['Meghan Trainor'],Title (Deluxe),2015-01-09
The Greatest,"['Sia', 'Kendrick Lamar']",The Greatest,2016
No Scrubs,['TLC'],Fanmail,1999-02-23
Call on Me - Ryan Riback Remix,"['Starley', 'Ryan Riback']",Call On Me (Remixes),2016-10-18
Party In The U.S.A.,['Miley Cyrus'],The Time Of Our Lives,2009-01-01
Work from Home,"['Fifth Harmony', 'Ty Dolla $ign']",Work from Home,2016-02-27
Shout Out to My Ex,['Little Mix'],Shout Out to My Ex,2016-10-16
Say It (feat. Tove Lo),"['Flume', 'Tove Lo']",Say It,2016-04-21
"Hold On, We're Going Home","['Drake', 'Majid Jordan']",Nothing Was The Same (Deluxe),2013-01-01
Lose Control (feat. Ciara & Fat Man Scoop),"['Missy Elliott', 'Ciara', 'Fatman Scoop']",The Cookbook,2005-07-04
Time of Our Lives,"['Pitbull', 'Ne-Yo']",Globalization,2014-11-21
Lean On,"['Major Lazer', 'MØ', 'DJ Snake']",Lean On,2015-03-02
Light It Up (feat. Nyla & Fuse ODG) [Remix],"['Major Lazer', 'Nyla', 'Fuse ODG']",Peace Is The Mission (Extended),2015-11-27
Paper Planes,['M.I.A.'],Kala,2007-01-01
Royals,['Lorde'],Pure Heroine,2013-09-27
Sugar (feat. Francesco Yates),"['Robin Schulz', 'Francesco Yates']",Sugar,2015-09-25
Talking Body,['Tove Lo'],Queen Of The Clouds (Blueprint Edition),2015-10-02
We Found Love (feat. Rihanna),"['Calvin Harris', 'Rihanna']",18 Months,2012-10-29
Elastic Heart,['Sia'],1000 Forms Of Fear,2014-07-04
Hello,"['Martin Solveig', 'Dragonette']",Hello,2010-11-26
Cake By The Ocean,['DNCE'],SWAAY,2015-10-23
Get Lost,['Icona Pop'],Get Lost,2014-07-17
Get Up (Rattle) - Vocal Edit,"['Bingo Players', 'Far East Movement']",Get Up (Rattle),2013-01-14
Trap Queen,['Fetty Wap'],Trap Queen,2014-12-15
Roll the Bass,['Major Lazer'],Peace Is the Mission (Extended Edition),2015-11-27
Hey Ya! - Radio Mix / Club Mix,['Outkast'],Speakerboxxx/The Love Below,2003-09-23
Baby Got Back,['Sir Mix-A-Lot'],Mack Daddy,1992-01-01
Sandstorm - Radio Edit,['Darude'],Sandstorm,1999-01-01
Tänään Lähtee,['Elokuu'],Tänään Lähtee,2013-01-01
The Next Episode,"['Dr. Dre', 'Snoop Dogg']",2001 (Explicit Version),1999-11-16
Golden Light (feat. 6AM),"['Madden', '6AM']",Golden Light (feat. 6AM),2016-03-18
Bonfire,"['Felix Jaehn', 'ALMA']",Bonfire,2016-07-15
Riptide - FlicFlac Edit,"['Vance Joy', 'FlicFlac']",Riptide (FlicFlac Edit),2014-03-10
Karma,['ALMA'],Karma,2016-06-03
Raise Your Glass,['P!nk'],Raise Your Glass,2010-10-06
Try,['P!nk'],The Truth About Love,2012-09-18
Blow Me (One Last Kiss),['P!nk'],The Truth About Love,2012-09-18
Sk8er Boi,['Avril Lavigne'],Let Go,2002-06-04
When You're Gone,['Avril Lavigne'],The Best Damn Thing,2007-04-13
Here's to Never Growing Up,['Avril Lavigne'],Avril Lavigne,2013-11-06
What the Hell,['Avril Lavigne'],Goodbye Lullaby,2011-03-04
Smile,['Avril Lavigne'],Goodbye Lullaby,2011-03-04
The Best Damn Thing,['Avril Lavigne'],The Best Damn Thing (Expanded Edition),2007-04-17
Adore You,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04
The Climb,['Miley Cyrus'],The Time Of Our Lives (International Version),2009-01-01
Who Owns My Heart,['Miley Cyrus'],Can't Be Tamed,2010-01-01
Can't Be Tamed,['Miley Cyrus'],Can't Be Tamed,2010-01-01
When I Look At You,['Miley Cyrus'],When I Look At You,2010-01-01
7 Things,['Miley Cyrus'],7 Things,2008-01-01
Body Say,['Demi Lovato'],Body Say,2016-07-01
Confident,['Demi Lovato'],Confident (Deluxe Edition),2015-01-01
Cool for the Summer,['Demi Lovato'],Confident (Deluxe Edition),2015-01-01
Heart Attack,['Demi Lovato'],Demi,2013-01-01
Love You Like A Love Song,['Selena Gomez & The Scene'],When the Sun Goes Down (Deluxe Edition),2011-01-01
Who Says,['Selena Gomez & The Scene'],When the Sun Goes Down (Deluxe Edition),2011-01-01
Naturally,['Selena Gomez & The Scene'],Kiss & Tell (European Version),2010-01-01
My Dilemma 2.0,['Selena Gomez & The Scene'],For You,2014-11-21
Bang Bang Bang,['Selena Gomez & The Scene'],When The Sun Goes Down,2011-01-01
We Own The Night - Featuring Pixie Lott,"['Selena Gomez & The Scene', 'Pixie Lott']",When The Sun Goes Down,2011-01-01
Hit The Lights,['Selena Gomez & The Scene'],When The Sun Goes Down,2011-01-01
My Dilemma,['Selena Gomez & The Scene'],When The Sun Goes Down,2011-01-01
Dices (Who Says - Spanish Version),['Selena Gomez & The Scene'],When The Sun Goes Down,2011-01-01
Tell Me Something I Don't Know,['Selena Gomez & The Scene'],Kiss & Tell (European Version),2010-01-01
Round & Round,['Selena Gomez & The Scene'],Round & Round,2010-01-01
Hands To Myself,['Selena Gomez'],Revival (Deluxe),2015-10-09
The Heart Wants What It Wants,['Selena Gomez'],For You,2014-11-21
Lintu,['Diandra'],Kerran Joulukuun Aikaan,2015-11-06
Price Tag,"['Jessie J', 'B.o.B']",Who You Are (Platinum Edition),2011-01-01
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",['Jessie J'],"Flashlight (From ""Pitch Perfect 2"" Soundtrack)",2015-04-14
Strong Ones (feat. Cimo Fränkel),"['Armin van Buuren', 'Cimo Fränkel']",Strong Ones (feat. Cimo Fränkel) [Remixes],2015-12-04
The Right Song,"['Tiësto', 'Oliver Heldens', 'Natalie La Rose']",The Right Song,2016-01-22
The Only Way Is Up,"['Martin Garrix', 'Tiësto']","Club Life, Vol. 4 - New York City",2015-05-18
Wasted,"['Tiësto', 'Matthew Koma']",A Town Called Paradise,2014-06-13
Run Wild (feat. Jake Reese) - Original Mix,"['Hardwell', 'Jake Reese']",Run Wild (feat. Jake Reese),2016-03-11
Young Again (feat. Chris Jones),"['Hardwell', 'Chris Jones']",United We Are,2015-01-09
Everybody Is in the Place - Radio Edit,['Hardwell'],Everybody Is In The Place,2014-04-21
Dare You (feat. Matthew Koma) - Radio Edit,"['Hardwell', 'Matthew Koma']",Dare You (feat. Matthew Koma),2013-11-22
Apollo (feat. Amba Shepherd) - Radio Edit,"['Hardwell', 'Amba Shepherd']",Apollo (feat. Amba Shepherd),2013-04-29
Dream Bigger - Radio Edit,['Axwell /\\ Ingrosso'],Dream Bigger,2016-04-29
On My Way,"['Axwell /\\ Ingrosso', 'Axwell', 'Sebastian Ingrosso']",On My Way,2015-03-12
Barricade - Radio Edit,['Axwell'],Barricade,2016-03-04
Louder - Radio Edit,"['Dimitri Vegas & Like Mike', 'VINAI']",Louder,2015-02-13
Louder - Extended Mix,"['Dimitri Vegas & Like Mike', 'VINAI']",Louder,2015-02-13
Project T - Martin Garrix Edit,"['Dimitri Vegas & Like Mike', 'Like Mike', 'Sander van Doorn']",Project T (Martin Garrix Remix),2013-11-22
Proxy,['Martin Garrix'],Gold Skies,2014-07-01
How You Remind Me,['Nickelback'],Silver Side Up,2001-09-11
Lullaby,['Nickelback'],Here and Now,2011-11-14
Bring Me To Life,['Evanescence'],Fallen,2003
Skinny Love,['Birdy'],Birdy (Deluxe Version),2011-11-04
Breathe Me,['Sia'],Colour The Small One,2005-01-01
If I Die Young,['The Band Perry'],If I Die Young,2010-01-01
My Immortal,['Evanescence'],Fallen,2003
Lost It All,['Black Veil Brides'],Wretched and Divine: The Story Of The Wild Ones,2012-01-01
Chasing Cars,['Snow Patrol'],Chasing Cars,2006-01-01
Monster (DotEXE Remix),['Meg & Dia'],Monster (DotEXE Remix),2013-06-15
AnyTime,['Don Diablo'],AnyTime,2014-08-04
Gravity - Radio Edit,"['Andero & Nectum', 'Ian Everson']",Gravity (feat. Ian Everson),2014-11-10
Warrior - Radio Edit,"['Juliette Claire', 'Yetmir']",Warrior,2014-08-11
Karjala takaisin (feat. Freeman),"['JVG', 'Freeman']",jvg.fi,2012-05-30
Coco Jamboo - Radio Version,['Mr. President'],We See The Same Sun,1996
Nää yöt ei anna armoo (feat. Cheek),"['Kaija Koo', 'Cheek']",Sinun naisesi,2016-11-04
Tuesday (feat. Danelle Sandoval),"['Burak Yeter', 'Danelle Sandoval']",Tuesday (feat. Danelle Sandoval),2016-09-02
Beautiful,"['Akon', ""Colby O'Donis"", 'Kardinal Offishall']",Freedom (Int'l Version),2008-01-01
Ei Filtterii,['Evelina'],24K,2016-10-28
Blue (Da Ba Dee) - Sound of Legend Edit,['Sound Of Legend'],Blue (Da Ba Dee) [Sound of Legend Edit],2016-09-30
Sex (With My Ex) - Radio Edit,['Mon DJ'],Sex (With My Ex),2013-10-04
Captain Jack - Short Mix,['Captain Jack'],Captain Jack,1995-08-07
Ikuinen Virta,['Indica'],Ikuinen Virta,2004-01-11
Panisin,['duo'],Panisin,2012-05-21
Lämpöö,"['Brädi', 'Redrama']",Lämpöö,2012-01-01
Party (Papiidipaadi) (feat. Nikke Ankara),"['Antti Tuisku', 'Nikke Ankara']",En kommentoi (Deluxe Version),2015-05-22
Peto on irti,['Antti Tuisku'],En kommentoi,2015-05-22
Sata salamaa (Vain elämää kausi 4),['Antti Tuisku'],TOP 10,2016-05-13
Ryyppy,['STIG'],Puumaa mä metsästän,2012-06-05
Huomisen Huolia,"['Spekti', 'Tasis']",Huomisen Huolia,2016-10-12
Levikset repee (feat. VilleGalle),"['Sini Sabotage', 'VilleGalle']",Levikset repee (feat. VilleGalle),2013-04-19
The Fox (What Does the Fox Say?),['Ylvis'],The Fox (What Does the Fox Say?),2013-09-02
Dance (A$$) Remix,"['Big Sean', 'Nicki Minaj']",Dance (A$$) Remix,2011-01-01
Big Bang (2015 Life In Color Anthem) - Radio Edit,"['Borgeous', 'SOLANO']",Big Bang (2015 Life In Color Anthem),2015-04-27
Whatever You Like,['T.I.'],Paper Trail,2008-09-08
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",['DJ Khaled'],"All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010-02-09
Burn,"['KSHMR', 'DallasK']",Burn,2014-10-06
Live Your Life - feat. Rihanna,"['T.I.', 'Rihanna']",Paper Trail,2008-09-08
Big Bang - Bass Modulators Radio Edit,"['twoloud', 'Bass Modulators']",Big Bang (Bass Modulators Remix),2014-07-07
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","['A$AP Rocky', 'Drake', '2 Chainz', 'Kendrick Lamar']","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2012-10-24
Hookah,['Qulinez'],Hookah,2015-07-20
The Moment (Novell),['Nicky Romero'],The Moment (Novell),2016-06-17
Ms. New Booty,"['Bubba Sparxxx', 'Ying Yang Twins', 'Mr. Collipark']",Ms. New Booty,2005-01-01
All We Know,"['The Chainsmokers', 'Phoebe Ryan']",All We Know,2016-09-29
Monopoly,"['Mokita', 'CADE']",Monopoly,2016-08-29
Kiinni Jäit,"['Jontte Valosaari', 'Mikael Gabriel']",Kiinni Jäit,2014-01-01
Tg 2016,"['The Moose', 'ODEE']",Tg 2016,2016-03-25
Kuningatar,['Kauniit & Uhkarohkeat'],Kuningatar,2016-02-03
Pokka,['Irina'],Liiba Laaba,2007-01-01
Oothan tässä vielä huomenna,['Johanna Kurkela'],Oothan tässä vielä huomenna,2012-01-01
Bandida,"['VG+', 'Seksikäs-Suklaa']",Bandida,2016-05-13
Boombidibyebye,"['Keko Salata', 'Ivone Cerdan']",Boombidibyebye,2016-07-01
Justin (feat. Daniel Okas),"['TUULI', 'Daniel Okas']",Justin (feat. Daniel Okas),2016-06-29
Paparazzi,['Lady Gaga'],The Fame,2008-01-01
And We Danced (feat. Ziggy Stardust),['Macklemore'],The Unplanned Mixtape,2010-01-05
The One That Got Away,"['Katy Perry', 'B.o.B']",The One That Got Away (feat. B.o.B),2011-01-01
I Think I'm In Love,['Kat Dahlia'],My Garden,2015-01-09
Grenade - Acoustic,['Bruno Mars'],The Grenade Sessions,2011-02-08
Paljon onnea vaan,['TUULI'],Paljon onnea vaan,2012-08-14
Poikii On,['Ella Lymi'],Poikii On,2016-08-31
Elän sut uudestaan,['PistePiste'],Hetken maailma on tässä,2013-08-19
Somebody That I Used To Know,"['Gotye', 'Kimbra']",Making Mirrors,2011-01-01
SUSHI,"['Evelina', 'JVG']",SUSHI,2016-06-28
Mitä mä teen (feat. JVG),"['Pete Parkkonen', 'JVG']",Mitä mä teen (feat. JVG),2016-08-12
Muistikuvien Vanki,"['Mäkki', 'Keko Salata']",Muistikuvien Vanki / Takas,2016-07-25
Pisamat,['Nikke Ankara'],Pisamat,2016-11-25
Broccoli (feat. Lil Yachty),"['DRAM', 'Lil Yachty']",Big Baby DRAM,2016-10-21
Don't Cha,"['The Pussycat Dolls', 'Busta Rhymes']",PCD (Revised International Version),2005-01-01
Right Now (Na Na Na),['Akon'],Freedom (Int'l Version),2008-01-01
Sexy Bitch (feat. Akon),"['David Guetta', 'Akon']",One More Love,2010-11-22
Black and Yellow,['Wiz Khalifa'],Rolling Papers,2011-03-29
Holiday (feat. Akon) - DJ Antoine vs Mad Mark 2k15 Club Mix,"['DJ Antoine', 'Akon']",Holiday (feat. Akon),2015-07-17
Break Free,"['Ariana Grande', 'Zedd']",Break Free,2014-07-02
Bitches N Marijuana (feat. ScHoolboy Q),"['Chris Brown', 'Tyga', 'ScHoolboy Q']",Fan of A Fan The Album (Expanded Edition),2015-02-24
Join Me - Razorblade Mix,['HIM'],And Love Said No - Greatest Hits 1997 - 2004,2004
Girl On Fire,['Alicia Keys'],Girl On Fire,2012-09-28
Move Your Body,['Eiffel 65'],Europop,1999
Bad Boy - Radio Edit,['Cascada'],Platinum,2006
Freestyler,"[""Bomfunk MC's""]",Freestyler,2000
Boulevard of Broken Dreams,['Green Day'],Boulevard of Broken Dreams,2004
Secrets,['OneRepublic'],Waking Up (International Deluxe Version),2009
Girl Gone Wild,['Madonna'],MDNA,2012-01-01
Give Me All Your Luvin',"['Madonna', 'Nicki Minaj', 'M.I.A.']",MDNA,2012-01-01
La La La,['LMFAO'],Party Rock,2009-01-01
Beez In The Trap,"['Nicki Minaj', '2 Chainz']",Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01
Dressin' Up,['Katy Perry'],Teenage Dream: The Complete Confection,2012-03-12
LaserLight,"['Jessie J', 'David Guetta']",Who You Are (Platinum Edition),2011-01-01
Rakkaudesta laulu,['Maisa'],Rakkaudesta laulu,2011-12-23
Radioactive,['Rita Ora'],ORA Deluxe,2012-08-27
Finally Found You,"['Enrique Iglesias', 'Sammy Adams']",Finally Found You,2012-01-01
Miracle,['Hurts'],Miracle,2013-03-10
B-e-a-utiful,['Megan Nicole'],B-e-a-utiful,2012-01-01
"Driving Around (feat. Pitbull, David Rush & Vein)","['Mr. 305', 'Pitbull', 'David Rush', 'Vein']","International Takeover (feat. Pitbull, David Rush, Qwote, Vein, Jump Smokers, Baby Bash, Trina, Ty, Selena Serrano & Trick Daddy)",2013-07-09
Ode to the Bouncer,['Studio Killers'],Studio Killers,2013-06-04
Jenny (I Wanna Ruin Our Friendship),['Studio Killers'],Studio Killers,2013-06-04
Live It Up,"['Jennifer Lopez', 'Pitbull']",Live It Up,2013-01-01
Wild,"['Jessie J', 'Big Sean']",Wild,2013-01-01
Popular Song,"['MIKA', 'Ariana Grande']",Yours Truly,2013-01-01
How Ya Doin'? (feat. Missy Elliott),"['Little Mix', 'Missy Elliott']",How Ya Doin'? (feat. Missy Elliott),2013-04-04
High School,"['Nicki Minaj', 'Lil Wayne']",Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01
Dancing With Tears In My Eyes,['Kesha'],Animal + Cannibal (Deluxe Edition),2010-11-19
Sunshine,['Matisyahu'],Spark Seeker,2012
DJ Got Us Fallin' In Love (feat. Pitbull),"['USHER', 'Pitbull']",Pure... Pop,2012-09-07
American Girl,['Bonnie McKee'],American Girl,2013-07-23
Saturnus,"['Brädi', 'Illi']",Saturnus,2016-11-24
Eat Sleep Rave Repeat (feat. Beardyman) - Dimitri Vegas & Like Mike vs. Ummet Ozcan Tomorrowland Radio Edit,"['Fatboy Slim', 'Riva Starr', 'Beardyman']",Eat Sleep Rave Repeat (feat. Beardyman),2014-01-31
Castle on the Hill,['Ed Sheeran'],Castle on the Hill,2017-01-06
Loistat Pimeäs,['Mikael Gabriel'],Loistat Pimeäs,2016-12-22
Shape of You,['Ed Sheeran'],Shape of You,2017-01-06
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"['Vice', 'Skizzy Mars', 'Jasmine Thompson']",Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),2016-09-30
Believer,"['Major Lazer', 'Showtek']",Believer,2016-09-30
Mixet Tahdo,"['Mäkki', 'Pyhimys']",Mixet Tahdo,2017-01-13
Hear Me Now,"['Alok', 'Bruno Martini', 'Zeeba']",Hear Me Now,2016-01-01
Paris,['The Chainsmokers'],Paris,2017-01-13
Vidorra,['Tungevaag'],Vidorra,2014-11-28
Springfield,"['Tungevaag', 'ItaloBrothers']",Springfield,2015-04-24
Habits (Stay High) - Oliver Nelson Remix,"['Tove Lo', 'Oliver Nelson']",Truth Serum,2014-03-03
Your Love Is My Drug,['Kesha'],Animal,2010
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"['David Guetta', 'Nicki Minaj', 'Flo Rida']",Where Them Girls At (feat. Nicki Minaj & Flo Rida),2011-04-29
Whatcha Say,['Jason Derulo'],Whatcha Say,2009-06-09
What Makes You Beautiful,['One Direction'],Up All Night,2012-05-25
Viimeinen,['Nylon Beat'],Parhaat!,2014-08-22
Tytöt Tykkää,['Tea'],Tytöt Tykkää,2007-01-01
The Sweet Escape,"['Gwen Stefani', 'Akon']",The Sweet Escape (International Version),2006-01-01
Sugar (feat. Wynter),"['Flo Rida', 'Wynter Gordon']",R.O.O.T.S. (Route of Overcoming the Struggle),2009-03-30
Snap Yo Fingers,"['Lil Jon', 'E-40', 'Sean Paul']",Snap Yo Fingers - Single,2006-05-02
Smooth Criminal - 2012 Remaster,['Michael Jackson'],Bad (Remastered),1987-08-31
SexyBack,"['Justin Timberlake', 'Timbaland']",FutureSex/LoveSounds,2006-09-12
Rusketusraidat,['PMMP'],Kuulkaas Enot!,2003-09-05
Salaisuudet,['TUULI'],Salaisuudet,2012-09-21
Rakkauden haudalla,['Jonna Tervomaa'],Lemmikit (Erikoispainos),2008-01-01
Rehab,['Amy Winehouse'],Back To Black,2006
Puuttuva palanen,"['Robin Packalen', 'Brädi']",Chillaa (Deluxe),2012-01-01
Pomppufiilis,['Munamies'],Pomppufiilis,2011-01-01
Poika (saunoo),['Poju'],Poika,2011-04-13
Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",Sorry For Party Rocking,2011-01-01
Piece of Me,['Britney Spears'],Blackout,2007-10-15
Paper Planes,['M.I.A.'],Paper Planes,2008-10-13
One Time,['Justin Bieber'],My Worlds - The Collection (International Package),2010-01-01
Paparazzi,['Lady Gaga'],The Fame Monster (International Deluxe),2009-01-01
Normipäivä (feat. Hank Solo),"['Aste', 'Hank Solo']",Normipäivä (feat. Hank Solo),2010-05-17
New Way Home,['Isac Elliot'],Wake Up World,2013-05-24
Märkää,['Petri Nygård'],Märkää,2012-02-27
Mikä boogie,['Fintelligens'],Mun tie tai maantie,2010-01-01
Mercy,['Duffy'],Rockferry,2008-01-01
Matkalaulu,['PMMP'],Kovemmat Kädet - Kumiversio,2005-08-18
Lämpöö,"['Brädi', 'Redrama']",Näis Kengis,2012-01-01
Kiss Me Thru The Phone,"['Soulja Boy', 'Sammie']",Kiss Me Thru The Phone,2009-01-01
Lanit (Masa & Teurastaja) - Bonus,['Justimus'],Wunderboy,2014-05-30
Juuret,['Antti Tuisku'],Juuret,2009-05-25
Jos mä oisin sä,['Cheek'],Jos mä oisin sä,2009-01-01
Jossu - feat. Jukka poika,"['Cheek', 'Jukka Poika']",Jossu (feat. Jukka Poika),2013-05-31
Ihmisten edessä,['Jenni Vartiainen'],Ihmisten edessä,2007-09-05
Heilutaan,['Tiktak'],Ympyrää,2003-01-01
Girls Just Want to Have Fun,['Cyndi Lauper'],True Colors: The Best Of Cyndi Lauper,2014-12-11
Frontside Ollie,['Robin Packalen'],Frontside Ollie,2012-01-01
Fire Burning,['Sean Kingston'],Fire Burning,2009-04-30
Candy Shop,"['50 Cent', 'Olivia']",The Massacre,2005-03-03
Barbie Girl,['Aqua'],Greatest Hits,2009-01-01
Are You Ready,['ABREU'],Are You Ready,2008-01-21
American Idiot,['Green Day'],American Idiot,2004-09-21
Räjäytä mun mieli,['ABREU'],Sensuroimaton versio,2016-09-09
Kaikki paljaana (feat. Mikael Gabriel),"['ABREU', 'Mikael Gabriel']",Sensuroimaton versio,2016-09-09
Kaikki mussa rakastaa kaikkea sun,['ABREU'],Sensuroimaton versio,2016-09-09
Bandana,['ABREU'],Sensuroimaton versio,2016-09-09
Kylmästä lämpimään,['ABREU'],Vain elämää,2015-01-30
Music Everywhere,['ABREU'],Greatest Hits,2012-02-20
Stereo,['ABREU'],Greatest Hits,2012-02-20
End Of Love,['ABREU'],Greatest Hits,2012-02-20
Vinegar - Original Radio Mix,['ABREU'],Greatest Hits,2012-02-20
Ivory Tower,['ABREU'],Greatest Hits,2012-02-20
Worst Part Is Over (feat. Redrama),"['ABREU', 'Redrama']",Greatest Hits,2012-02-20
Tuulilasin nurkkaan,['Kristiina Brask'],Silmät sydämeeni,2007-11-07
